image_names,box_coordinates,emotion,probability
5481618.jpg,"[142.87310791015625, 99.4944839477539, 305.8291320800781, 311.5608825683594]",neutral,0.9994897842407227
anger.jpg,"[2110.978759765625, 698.333251953125, 3429.99169921875, 2669.869384765625]",anger,0.9596505761146545
